URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
http://dmsreports.corp.oncor.com/DMSReports/OMS/WorkOrder/Summary#/,OMS/WorkOrder/Summary#/,OMS/WorkOrder/Summary,5,27,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/XfmrChangeOut/Summary#/System/All/,OMS/XfmrChangeOut/Summary#/System/All/,OMS/XfmrChangeOut/Summary,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/PremisesWithoutTransformers#/System/All/,PremisesWithoutTransformers#/System/All/,PremisesWithoutTransformers,3,2,1
http://dmsreports.corp.oncor.com/DMSReports/PUCDailyOutages/Detail#/?startDate=2021-03-24T00:00:00&endDate=2021-03-24T23:59:59,PUCDailyOutages/Detail#/?startDate=2021-03-24T00:00:00&endDate=2021-03-24T23:59:59,PUCDailyOutages/Detail,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/PUCDailyOutages/Summary#/?startDate=2021-03-24T00:00:00&endDate=2021-03-24T23:59:59,PUCDailyOutages/Summary#/?startDate=2021-03-24T00:00:00&endDate=2021-03-24T23:59:59,PUCDailyOutages/Summary,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/PUCInitialNotice#/System/All/,PUCInitialNotice#/System/All/,PUCInitialNotice,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/Alarm/Current#/System/All/,Scada/Alarm/Current#/System/All/,Scada/Alarm/Current,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/Alarm/History#/System/All/,Scada/Alarm/History#/System/All/,Scada/Alarm/History,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/SCADA/Comm,SCADA/Comm,SCADA/Comm,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/SCADA/DA#/System/All/,SCADA/DA#/System/All/,SCADA/DA,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/Device,Scada/Device,Scada/Device,227,870,1
http://dmsreports.corp.oncor.com/DMSReports/Scada/DeviceCount/ByFeeder#/System/All/,Scada/DeviceCount/ByFeeder#/System/All/,Scada/DeviceCount/ByFeeder,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/SCADA/EventSearch/#/System/All/,SCADA/EventSearch/#/System/All/,SCADA/EventSearch,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/FaultCurrent#/?model=,Scada/FaultCurrent#/?model=,Scada/FaultCurrent,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/FaultHistory#/System/All/,Scada/FaultHistory#/System/All/,Scada/FaultHistory,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/FCI#/System/All/,Scada/FCI#/System/All/,Scada/FCI,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/IssueTags#/System/All/,Scada/IssueTags#/System/All/,Scada/IssueTags,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/SCADA/Map#/System/All/,SCADA/Map#/System/All/,SCADA/Map,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/Summary#/System/All/,Scada/Summary#/System/All/,Scada/Summary,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Scada/Switch#/System/All/,Scada/Switch#/System/All/,Scada/Switch,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/SCADA/Team,SCADA/Team,SCADA/Team,2,10,1
http://dmsreports.corp.oncor.com/DMSReports/ServiceDamage/History#/System/All/,ServiceDamage/History#/System/All/,ServiceDamage/History,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/Storm/FireCall/#/System/All/,Storm/FireCall/#/System/All/,Storm/FireCall,0,10333,1
http://dmsreports.corp.oncor.com/DMSReports/Storm/FireCall/Search#/System/All/,Storm/FireCall/Search#/System/All/,Storm/FireCall,0,10333,1
http://dmsreports.corp.oncor.com/DMSReports/StormSummary#/System/All/,StormSummary#/System/All/,StormSummary,0,32,1
http://dmsreports.corp.oncor.com/DMSReports/SwitchAppt/#?location=,SwitchAppt/#?location=,SwitchAppt,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/switchgear/fail/system,switchgear/fail/system,switchgear/fail/system,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/User/Settings,User/Settings,User/Settings,2,2,1
http://dmsreports.corp.oncor.com/OutageMap/?ams&c-Contractor&c-Mutual%20Assistance&c-Oncor&emergency&evtLine&n-D&n-F&n-Q&n-R&n-V&n-W&n-X&nonOutages&oms&outages&panel=objects&r-CREW&r-DE&r-DOT&r-OTHER&r-SMAN&r-TMAN&r-VM&r-WDG&restorationAreas&withoutLogin&workOrders&zoom=-10944902_3755201_7.53,http://dmsreports.corp.oncor.com/OutageMap/?ams&c-Contractor&c-Mutual%20Assistance&c-Oncor&emergency&evtLine&n-D&n-F&n-Q&n-R&n-V&n-W&n-X&nonOutages&oms&outages&panel=objects&r-CREW&r-DE&r-DOT&r-OTHER&r-SMAN&r-TMAN&r-VM&r-WDG&restorationAreas&withoutLogin&workOrders&zoom=-10944902_3755201_7.53,OutageMap,3479,7275,1
http://edctgmwps1.corp.oncor.com/TGMTickets/,http://edctgmwps1.corp.oncor.com/TGMTickets/,N/A,18,6381,1
http://edctgmwps1/reclosersettings/Distribution.aspx,http://edctgmwps1/reclosersettings/Distribution.aspx,N/A,18,6381,1
http://edctgmwps1/TGMDashboard/,http://edctgmwps1/TGMDashboard/,N/A,18,6381,1
http://edctgmwps1/TGMDashboard/Link.aspx?ID=118,http://edctgmwps1/TGMDashboard/Link.aspx?ID=118,N/A,18,6381,1
http://edctgmwps1/TGMDashboard/Link.aspx?ID=68,http://edctgmwps1/TGMDashboard/Link.aspx?ID=68,N/A,18,6381,1
http://edctgmwps1/TGMDashboard/Link.aspx?ID=79,http://edctgmwps1/TGMDashboard/Link.aspx?ID=79,N/A,18,6381,1
